date,population_group,newly_identified,actively_homeless,gender_male,gender_female,moved_to_housing,Year
2018-01-01,All Population,1106,7958,4963,2912,508,2018
2018-02-01,All Population,947,8132,5093,2959,489,2018
2018-03-01,All Population,1226,8607,5389,3133,533,2018
2018-04-01,All Population,1305,9033,5631,3312,652,2018
2018-05-01,All Population,1469,9516,5838,3583,575,2018
2018-06-01,All Population,1333,9823,5957,3765,624,2018
2018-07-01,All Population,1156,9602,5809,3697,952,2018
2018-08-01,All Population,1214,9557,5763,3701,834,2018
2018-09-01,All Population,1204,9341,5696,3564,883,2018
2018-10-01,All Population,1022,9144,5609,3448,749,2018
2018-11-01,All Population,1308,9557,5899,3556,675,2018
2018-12-01,All Population,1152,9782,6046,3636,661,2018
2019-01-01,All Population,1106,10029,6183,3740,578,2019
2019-02-01,All Population,1021,9982,6125,3750,700,2019
2019-03-01,All Population,1162,10043,6161,3773,719,2019
2019-04-01,All Population,1121,10142,6230,3807,704,2019
2019-05-01,All Population,1221,10184,6246,3833,678,2019
2019-06-01,All Population,1057,10100,6189,3812,662,2019
2019-07-01,All Population,1037,9558,5854,3613,803,2019
2019-08-01,All Population,1058,9322,5684,3549,783,2019
2019-09-01,All Population,1115,9141,5574,3484,834,2019
2019-10-01,All Population,1038,9206,5652,3466,616,2019
2019-11-01,All Population,1036,9457,5834,3530,632,2019
2019-12-01,All Population,1152,9914,6102,3712,584,2019
2020-01-01,All Population,901,9916,6083,3737,567,2020
2020-02-01,All Population,959,9834,6035,3695,601,2020
2020-03-01,All Population,900,9680,5965,3606,660,2020
2020-04-01,All Population,469,8935,5507,3330,600,2020
2020-05-01,All Population,390,8207,5056,3051,497,2020
2020-06-01,All Population,368,7668,4747,2822,434,2020
2020-07-01,All Population,552,7552,4690,2760,512,2020
2020-08-01,All Population,628,7580,4707,2766,477,2020
2020-09-01,All Population,595,7572,4709,2757,522,2020
2020-10-01,All Population,636,7506,4721,2679,444,2020
2020-11-01,All Population,598,7586,4814,2663,405,2020
2020-12-01,All Population,621,7741,4977,2649,375,2020
2021-01-01,All Population,647,7829,5037,2662,346,2021
2021-02-01,All Population,590,7871,5079,2650,297,2021
2021-03-01,All Population,539,7745,4996,2593,341,2021
2021-04-01,All Population,480,7516,4784,2570,268,2021
2021-05-01,All Population,626,7575,4816,2607,278,2021
2021-06-01,All Population,719,8037,5101,2775,253,2021
2021-07-01,All Population,740,8322,5274,2889,284,2021
2021-08-01,All Population,685,8479,5368,2958,306,2021
2021-09-01,All Population,832,8760,5524,3083,255,2021
2021-10-01,All Population,850,8992,5665,3175,270,2021
2021-11-01,All Population,783,9199,5815,3235,250,2021
2021-12-01,All Population,806,9255,5813,3294,261,2021
2022-01-01,All Population,741,9410,5897,3346,235,2022
2022-02-01,All Population,780,9559,6002,3393,282,2022
2022-03-01,All Population,954,9933,6187,3584,321,2022
2022-04-01,All Population,718,9913,6173,3585,283,2022
2022-05-01,All Population,740,9732,6004,3580,333,2022
2022-06-01,All Population,779,9752,5966,3636,373,2022
2022-07-01,All Population,814,9768,5920,3701,344,2022
2022-08-01,All Population,797,9724,5917,3658,418,2022
2022-09-01,All Population,791,9690,5855,3688,376,2022
2022-10-01,All Population,733,9622,5810,3662,453,2022
2022-11-01,All Population,722,9711,5904,3662,464,2022
2022-12-01,All Population,1226,10408,6337,3919,503,2022
2023-01-01,All Population,813,10702,6511,4018,448,2023
2023-02-01,All Population,865,10849,6638,4030,492,2023
2023-03-01,All Population,801,10811,6614,4017,523,2023
2023-04-01,All Population,766,10515,6426,3912,595,2023
2023-05-01,All Population,1132,10453,6396,3891,704,2023
2023-06-01,All Population,899,10418,6331,3934,446,2023
2023-07-01,All Population,599,10110,6058,3910,248,2023
2023-08-01,All Population,539,9988,5968,3892,246,2023
2023-09-01,All Population,841,10212,6056,4022,348,2023
2023-10-01,All Population,929,10111,6011,3957,710,2023
2023-11-01,All Population,1113,10498,6280,4083,550,2023
2023-12-01,All Population,886,10607,6376,4096,617,2023
